tax code,TYPE (invoice/refund),account_id,debit,credit,invoice amount untaxed,invoice amount tax,invoice total,vat declaration,tax_amount

VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21,VAT-IN-V81-21

VAT-IN-V81-21,in_invoice,440000,0.0,1210.0,1000.0,210.0,1210.0,[],0.0
VAT-IN-V81-21,in_invoice,411059,210.0,0.0,1000.0,210.0,1210.0,['+BETAX59'],210.0
VAT-IN-V81-21,in_invoice,600000,1000.0,0.0,1000.0,210.0,1210.0,['+BETAX81'],1000.0

VAT-IN-V81-21,in_refund,600000,0.0,0.0,1000.0,210.0,1210.0,['-BETAX81'],1000.0
VAT-IN-V81-21,in_refund,411059,0.0,210.0,1000.0,210.0,1210.0,['+BETAX63'],210.0
VAT-IN-V81-21,in_refund,600000,0.0,1000.0,1000.0,210.0,1210.0,['+BETAX85'],1000.0
VAT-IN-V81-21,in_refund,440000,1210.0,0.0,1000.0,210.0,1210.0,[],0.0

VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12,VAT-IN-V81-12

VAT-IN-V81-12,in_invoice,440000,0.0,1120.0,1000.0,120.0,1120.0,[],0.0
VAT-IN-V81-12,in_invoice,411059,120.0,0.0,1000.0,120.0,1120.0,['+BETAX59'],120.0
VAT-IN-V81-12,in_invoice,600000,1000.0,0.0,1000.0,120.0,1120.0,['+BETAX81'],1000.0

VAT-IN-V81-12,in_refund,600000,0.0,0.0,1000.0,120.0,1120.0,['-BETAX81'],1000.0
VAT-IN-V81-12,in_refund,411059,0.0,120.0,1000.0,120.0,1120.0,['+BETAX63'],120.0
VAT-IN-V81-12,in_refund,600000,0.0,1000.0,1000.0,120.0,1120.0,['+BETAX85'],1000.0
VAT-IN-V81-12,in_refund,440000,1120.0,0.0,1000.0,120.0,1120.0,[],0.0

